plate,name,district,address
海湾,绿地香颂(奉贤)(公寓),奉贤,海马路5888弄
彭浦,康平小区,闸北,"临汾路894弄,临汾路850弄,汾西路815弄,汾西路825号,汾西路835号,汾西路845号,汾西路855号,汾西路865号,汾西路875号,汾西路885弄"
嘉定老城,李园二村,嘉定,"博乐路7-20号,博乐路252弄,李园二村"
杨行,天馨花园(公寓),宝山,蕴川路1498弄
九亭,奥林匹克花园,松江,"涞亭北路99弄,涞寅路106弄"
白鹤,绿地时代名邸,青浦,绿地时代名邸 1-79号
七宝,园艺新村,闵行,七莘路2628弄
彭浦,新汾小区,闸北,"汾西路864弄, 汾西路880弄, 保德路891弄, 保德路871号, 保德路893号, 保德路881号"
丰庄,嘉和坊,嘉定,铜川路2395弄
月浦,月浦六村,宝山,德都路4号
源深,梅园三街坊,浦东,"乳山路130弄,乳山路138弄,乳山路160弄,商城路991弄,商城路1025弄"
西渡,闸园新村,奉贤,西闸路75号
田林,田林十二村,徐汇,田林十二村
淞南,淞南九村,宝山,新二路195号
潍坊,朱家滩小区,浦东,"潍坊路89弄1-32号,浦东南路1341弄1-9号"
月浦,乐业一村,宝山,春雷路331弄
嘉定新城,新城金郡,嘉定,"临泽路88弄, 临泽路89弄, 临泽路188弄, 云屏路1399弄, 临泽路189弄, 崇信路1518弄, 白银路1565号, 白银路1563号, 云屏路1520弄, 白银路1310弄"
浦江,金硕河畔景园南区,闵行,浦连路598弄
泥城镇,荷风华庭,浦东,云汉路1096弄
松江老城,森林公馆乐莫苑,松江,中山东路70弄
杨行,东方丽都,宝山,友谊路2858弄
五里桥,丽园新村,黄浦,"斜土路80弄5-24号,五里桥路39弄,斜土路88号"
上大,锦龙苑,宝山,聚丰园路388弄
川沙,万馨佳园,浦东,新德西路207弄
淞南,淞南八村,宝山,"长江南路725号, 长江南路143号, 淞南八村, 长江南路98号（淞南八村228）, 长江南路100号（淞南八村230）, 长江南路88号"
菊园新区,万科金色领域,嘉定,"秋竹路801弄,秋竹路802弄"
川沙,心圆东苑,浦东,华夏二路1455弄
惠南,听潮六村,浦东,"听潮六村, 西门路3号, 西门路4号, 通济路（新建路）4-16号, 西门路121弄5-13号"
颛桥,宏润丽园,闵行,春都路358弄
顾村,馨佳园(菊盛路851弄),宝山,菊盛路851弄
菊园新区,保利海上五月花(公寓),嘉定,永靖路898弄
黄兴公园,松花一村,杨浦,松花一村
金杨,金杨新村九街坊,浦东,"金杨路685弄,金杨路757弄,金杨路785弄,金杨路3680弄,金杨路3518号"
白鹤,启航城,青浦,启航城
中原,工农二村,杨浦,"开鲁路320弄,包头路935弄"
惠南,惠南小城,浦东,盐大路2585弄
世博,济阳一村,浦东,"济阳路95弄, 西营路170弄, 德州路420弄, 德州路436号, 德州路432号, 德州路430号, 德州路434号, 德州路438号, 德州路440号, 德州路442号, 德州路444号, 德州路446号, 德州路448号, 德州路450号, 德州路452号, 德州路454号, 德州路456号"
三林,环球翡翠湾花园(公寓),浦东,西泰林路158弄
金杨,香山新村东南街坊,浦东,"德平路1189弄90支弄,灵山路1840弄,德平路1189弄"
黄兴公园,长白三村,杨浦,长白三村
老闵行,绿地璀璨天城,闵行,富国路355弄
泗泾,塘和家园桂花锦苑,松江,泽悦路88弄
西渡,乐康苑,奉贤,肖塘路146弄
嘉定新城,龙湖郦城,嘉定,"云屏路88弄,双单路1509弄,云屏路188弄"
老闵行,鹤北新村二街坊,闵行,"安宁路26弄,安宁路88弄,鹤庆路358弄"
春申,上海春城,闵行,"莲花南路1108弄,莲花南路1288弄"
老闵行,华银坊,闵行,华宁路1399弄
曲阳,东体小区,虹口,"玉田路400弄, 玉田路414弄, 玉田路432弄, 玉田路446弄, 东体育会路657弄, 东体育会路659弄, 赤峰路373弄, 曲阳路579号, 曲阳路581号, 曲阳路583号, 曲阳路585号, 曲阳路587号, 曲阳路589号, 东体育会路431号, 东体育会路465号, 赤峰路375-379号, 赤峰路381-385号, 赤峰路397-405号, 东体育会路431-437号, 东体育会路439-455号, 东体育会路447-453号, 东体育会路455-461号, 东体育会路463-469号, 玉田路402-412号, 玉田路416-426号, 玉田路428号, 玉田路430号, 玉田路434号, 玉田路436-442号, 玉田路448-454号, 曲阳路575号, 曲阳路577号, 曲阳路553号, 曲阳路557号, 曲阳路561号, 曲阳路563号"
老闵行,新闵小区,闵行,"新闵路522弄,江川东路863弄"
中原,工农三村,杨浦,工农三村
张庙,呼玛二村,宝山,呼玛二村
中山公园,凯欣豪园,长宁,汇川路88弄
金杨,金杨新村五街坊,浦东,"银山路115弄,云山路1395弄,金杨路308弄,金杨路220弄"
丰庄,丰庄十二街坊,嘉定,"丰庄北路82弄,丰庄北路166弄,丰庄西路558弄"
顾村,菊泉新城(菊盛路50弄),宝山,菊盛路50弄
大场镇,乾溪新村,宝山,"乾溪路100弄, 乾溪路101弄, 乾溪路150弄, 乾溪路200弄, 乾溪路201弄, 乾溪路211弄, 乾溪路250弄, 乾溪路251弄, 乾溪路300弄, 乾溪路301弄, 乾溪路51弄, 乾溪路151弄"
南桥,江海新村,奉贤,江海新村
泗泾,新凯家园,松江,"新家园路128弄, 新家园路30弄，新家园路88弄，古楼公路1858弄"
南桥,绿地南桥新苑,奉贤,环城东路885弄
康桥,康桥月苑,浦东,"康佳路38弄,康佳路39弄"
